שם המתאמן
דגשים כלליים: לכתוב כאן הערות שנכונות לכל האימונים
ינואר 2026
אימון A - דחיפה
תרגיל,סטים,חזרות,משקל עבודה,מנוחה,דגשים
לחיצת חזה במוט,4,8,50,90 שניות,
לחיצת כתפיים בישיבה,3,10,20,60 שניות,להתחיל קל
פשיטת מרפק בפולי,3,12,25,60 שניות,
אימון B - משיכה
תרגיל,סטים,חזרות,משקל עבודה,מנוחה,דגשים
חתירה בהטיה,4,10,40,90 שניות,
פולי עליון,3,12,45,60 שניות,
מתח,3,6,משקל גוף,90 שניות,
אימון C - רגליים
תרגיל,סטים,חזרות,משקל עבודה,מנוחה,דגשים
סקוואט,4,8,70,120 שניות,
לג פרס,3,12,100,90 שניות,
דגשים: להוסיף עבודת ליבה בסוף כל אימון
פברואר 2026
אימון A - דחיפה
תרגיל,סטים,חזרות,משקל עבודה,מנוחה,דגשים
לחיצת חזה במוט,4,6-8,55,90 שניות,
לחיצת כתפיים בישיבה,3,10,22.5,60 שניות,
פשיטת מרפק בפולי,3,12,25,60 שניות,
אימון B - משיכה
תרגיל,סטים,חזרות,משקל עבודה,מנוחה,דגשים
חתירה בהטיה,4,10,45,90 שניות,
פולי עליון,3,12,45,60 שניות,
מתח,3,7,משקל גוף,90 שניות,
אימון C - רגליים
תרגיל,סטים,חזרות,משקל עבודה,מנוחה,דגשים
סקוואט,4,8,75,120 שניות,
לג פרס,3,12,110,90 שניות,
